data,pib,ln_pib,crescimento_pib
1996-03-31,175461.636,12.07517569970137,
1996-06-30,177540.3069,12.086952943245352,1.1777243543981797
1996-09-30,184101.2613,12.123241218365544,3.628827512019228
1996-12-31,182347.0228,12.11366686925956,-0.957434910598387
1997-03-31,184308.8135,12.12436796400121,1.0701094741650152
1997-06-30,185217.8685,12.129288078721535,0.49201147203241646
1997-09-30,187558.1503,12.141844211244038,1.2556132522503205
1997-12-31,189132.5094,12.150203156316934,0.8358945072895807
1998-03-31,185410.636,12.13032829832171,-1.9874857995224815
1998-06-30,188570.881,12.147229241715145,1.6900943393435952
1998-09-30,188514.3289,12.146929298365794,-0.029994334935068423
1998-12-31,186349.1911,12.135377564141343,-1.1551734224450882
1999-03-31,186715.41,12.137340864956023,0.19633008146797692
1999-06-30,187691.0225,12.142552392448339,0.5211527492315682
1999-09-30,187669.6581,12.14243855846877,-0.011383397956876706
1999-12-31,190328.9102,12.156508960820851,1.407040235208079
2000-03-31,192359.3308,12.167120416491807,1.0611455670956005
2000-06-30,195079.4467,12.181162173547667,1.4041757055860415
2000-09-30,197410.523,12.19304071256475,1.18785390170828
2000-12-31,199830.0636,12.205222602345813,1.2181889781063049
2001-03-31,200482.8029,12.208483750977893,0.32611486320792693
2001-06-30,199562.4999,12.203882748956042,-0.460100202185032
2001-09-30,198550.3581,12.198798040133697,-0.5084708822344908
2001-12-31,197926.6017,12.195651542466155,-0.31464976675419365
2002-03-31,202850.9199,12.220226603502299,2.457506103614371
2002-06-30,203348.705,12.222677542984627,0.24509394823279962
2002-09-30,206147.2298,12.23634590025674,1.366835727211324
2002-12-31,208236.8762,12.246431538595502,1.0085638338761527
2003-03-31,207329.2774,12.24206352048244,-0.4368018113062533
2003-06-30,205620.1487,12.233785807275128,-0.8277713207311521
2003-09-30,207514.6844,12.242957384341711,0.9171577066583225
2003-12-31,209658.7234,12.253236361082179,1.0278976740467627
2004-03-31,212540.1739,12.266886303125279,1.3649942043100438
2004-06-30,218491.2985,12.294501468926166,2.7615165800886743
2004-09-30,221210.5455,12.306870221544578,1.2368752618412415
2004-12-31,222880.0588,12.314389052832693,0.7518831288114924
2005-03-31,224827.4562,12.32308852566466,0.869947283196737
2005-06-30,227318.9226,12.334109255825657,1.1020730160996806
2005-09-30,225938.4896,12.328018071297967,-0.609118452769053
2005-12-31,228831.4277,12.340740887883591,1.272281658562413
2006-03-31,232448.822,12.356425359349382,1.5684471465791106
2006-06-30,233287.8867,12.360028535101328,0.36031757519463525
2006-09-30,237162.947,12.376502723954253,1.6474188852924954
2006-12-31,239931.7874,12.38810994275954,1.1607218805286479
2007-03-31,244344.6084,12.406334837384268,1.8224894624728094
